509532925,24/03/2013,7195,13/11/2023 21:53,14/11/2023 20:14,69536,35181,33353,1002,2658,8989,231.16,19217,20460,66,82292
597235072,18/09/2020,9059,13/09/2023 13:45,13/09/2023 13:43,11792,6651,4933,208,2921,11286,835.51,2929,2926,77,15571
532899076,27/11/2015,8769,14/11/2023 22:41,14/11/2023 22:40,8557,4820,3610,127,2579,7869,352.02,3473,2974,70,10148
525525255,10/01/2015,9035,23/09/2023 19:42,30/10/2023 20:13,10027,5711,4177,139,2600,8584,438.45,2929,3806,72,12744
582985992,11/09/2021,8845,14/11/2023 20:51,14/11/2023 21:47,4616,2839,1714,63,2777,9943,502.78,15697,1314,77,8641
508767510,26/02/2013,6241,14/11/2023 23:09,14/11/2023 23:41,46411,23302,22644,465,2402,7516,423.14,2417,13007,67,40862
566004525,19/11/2019,7773,19/07/2023 13:31,19/07/2023 14:18,9621,5092,4389,140,2933,7167,421.05,60225,2965,72,12337
564213560,12/08/2019,7282,11/05/2023 00:34,21/05/2023 20:18,12232,6296,5762,174,2777,7569,550.52,22017,3805,66,12889
528898878,12/06/2015,8913,15/11/2023 00:56,15/11/2023 01:10,29811,16617,12830,364,3060,8776,405.63,8241,10837,64,30740
517222208,17/01/2014,7121,13/09/2023 00:04,13/09/2023 00:04,48690,25409,22750,531,3222,8886,474.97,12049,11696,68,56201
527422788,04/04/2015,8566,14/11/2023 00:58,14/11/2023 00:58,31894,17372,14112,410,2982,9320,294.38,50193,8900,65,54666
502629203,03/03/2012,7242,14/11/2023 17:40,14/11/2023 18:48,90203,46593,42317,1293,2741,8627,276.08,13569,28158,62,94517
508463957,15/02/2013,7332,14/11/2023 20:20,14/11/2023 21:49,53975,27932,25513,530,2935,8268,464.69,46849,14406,74,66878
535406427,11/02/2016,7989,31/03/2023 22:50,22/10/2023 19:04,17298,9238,7877,183,2681,7878,379.24,10785,5484,70,18558
515741021,27/11/2013,6950,14/11/2023 00:50,14/11/2023 23:22,47082,24461,22168,453,2709,7616,365.49,47121,13461,66,61602
523037022,29/10/2014,9412,13/11/2023 21:59,13/11/2023 23:19,36432,20596,15265,571,2906,10199,306.92,6209,11432,68,44776
510553829,19/06/2013,5014,14/11/2023 20:55,14/11/2023 20:57,39336,18856,19920,560,2372,7405,386.57,19217,6236,59,47769
512777065,04/08/2013,8349,13/11/2023 21:52,14/11/2023 22:58,109188,57430,50239,1519,2750,9710,491.18,46849,39134,65,110420
537294700,18/04/2016,9031,14/11/2023 21:52,14/11/2023 21:53,31260,17592,13212,456,2789,9604,359.73,13089,11578,63,31576
513143661,14/08/2013,9207,14/11/2023 00:13,14/11/2023 00:14,58775,32120,25973,682,3167,8704,292.08,60977,20898,71,91162
508633457,21/02/2013,7716,15/11/2023 10:02,15/11/2023 10:20,31285,15927,15018,340,2571,8407,388.56,14881,9839,73,29804
501721973,13/11/2011,8054,14/11/2023 20:47,14/11/2023 20:45,45196,23817,20694,685,2753,8971,468.99,13905,13902,69,56085
515288447,15/11/2013,9571,08/10/2023 19:02,08/10/2023 19:31,62024,33887,27469,668,3416,9993,480.1,13905,20875,68,69694
502565760,25/02/2012,9194,02/10/2023 16:22,02/10/2023 23:45,32325,17861,13999,465,2905,9224,459.08,13089,11089,73,46280
500572553,26/04/2011,8061,14/11/2023 23:56,15/11/2023 00:00,92245,49892,41105,1248,2483,7782,362.97,15697,27626,71,115004
556268938,18/07/2018,10543,14/11/2023 22:29,14/11/2023 22:27,36878,21654,14738,486,3023,9757,397.56,5505,13830,76,51394
520448911,03/07/2014,7763,05/11/2023 22:01,05/11/2023 22:15,47397,24531,22275,591,2594,7724,246.35,50193,15981,71,41369
515876263,01/12/2013,7200,12/11/2023 22:12,12/11/2023 22:08,23962,12183,11442,337,2909,8399,424.98,13905,8327,62,19254
575727530,05/12/2020,6942,14/11/2023 16:34,14/11/2023 21:39,13847,7236,6419,192,2795,7174,516.45,12049,3164,59,18662
510415276,30/04/2013,6929,24/09/2023 21:52,26/09/2023 20:04,22151,11345,10518,288,2816,9776,269.54,19217,5519,68,30305
527835573,18/04/2015,6630,15/08/2023 23:05,15/08/2023 23:12,33506,16982,16145,379,2571,7428,261.61,12049,10837,62,33100
509112248,07/06/2013,8269,12/11/2023 13:23,12/11/2023 13:21,10037,5454,4408,175,2714,8938,405.71,3681,3276,73,12261
523166149,03/11/2014,7008,11/11/2023 15:40,11/11/2023 15:46,19617,10207,9188,222,2771,8133,364.9,52561,5825,62,17738
