531885057,sNaideR11,private,05/01/2022,500068265
510007303,YaK_Slayer,recruit,01/09/2023,500068265
549340683,Sprite25L,private,05/07/2023,500068265
556268564,YaK_BoGdaN,personnel_officer,03/06/2023,500068265
536167959,D3t3ktoR,private,27/06/2023,500068265
558694424,TheShadowQfDeath,private,09/07/2022,500068265
513872420,_CptAdrian_,quartermaster,04/06/2023,500068265
511268911,_GravMagicFin_,intelligence_officer,23/03/2023,500068265
550474801,twitchtvtheofficerstar,private,29/07/2023,500068265
533105901,ZURLY,intelligence_officer,06/02/2023,500068265
521316406,killer_949,private,28/04/2023,500068265
674123832,SnEkE__EyES_,private,08/07/2023,500068265
525103675,Sm3cH3RuL,private,25/04/2023,500068265
511574082,Ionut___Kaddy,private,04/05/2023,500068265
534484563,YaK_Cu_Minte,personnel_officer,10/07/2022,500068265
522693721,Incogni7o,private,18/03/2023,500068265
500029538,Getik,intelligence_officer,03/04/2023,500068265
501373035,SanKraN,personnel_officer,23/07/2021,500068265
501254766,NitrousOxide,intelligence_officer,12/03/2023,500068265
516030082,lostmyshadow,private,10/04/2023,500068265
523197062,YaK_Catalin_bozo,quartermaster,03/07/2023,500068265
524202121,misu97,private,13/04/2023,500068265
509710990,YaK_Goldie_Man,recruit,26/08/2023,500068265
508766359,ReLike10,private,24/04/2023,500068265
511906972,bilibistrocul,private,11/12/2021,500068265
519765672,1maze1,combat_officer,28/06/2022,500068265
505292469,corlae_reload,intelligence_officer,01/04/2023,500068265
674720951,EbY_OrKooW,private,24/06/2023,500068265
532203211,Cattani2015,private,15/04/2023,500068265
529460941,sor1n3l,commander,04/12/2015,500068265
558323411,YaK_crys4st3aua,private,06/07/2020,500068265
523522772,_Adistaktos_,private,12/03/2023,500068265
517660196,Huyanbo_,recruit,09/09/2023,500068265
523187421,YaK_Horatiu,executive_officer,24/07/2019,500068265
522754782,dirty_lethal_clicker,quartermaster,18/03/2023,500068265
602141409,Gh0st_KiIler,private,13/08/2023,500068265
528883429,InkEZ,private,06/08/2023,500068265
518766824,CapraFermecata,private,09/08/2022,500068265
503673065,fakiru_woo,private,26/04/2023,500068265
523069165,Emi_SnD,private,01/05/2023,500068265
517965561,CostiSoft,private,19/04/2023,500068265
509532925,Big__Camper,private,18/06/2023,500068265
597235072,_N0FIRE_,private,25/03/2023,500068265
532899076,YaK_inofensiv,intelligence_officer,31/01/2023,500068265
525525255,xXx_paguba_xXx,executive_officer,22/08/2020,500068265
582985992,YaK_UnPorumbelNebuN,executive_officer,11/09/2021,500068265
508767510,sebigh,intelligence_officer,03/04/2023,500068265
566004525,mRobert1994,private,18/07/2023,500068265
564213560,YaK_v1rus,private,20/09/2020,500068265
528898878,YaK_learn2playlol,private,07/04/2020,500068265
517222208,Antavos_,recruit,11/09/2023,500068265
527422788,prafffulescu,private,18/08/2020,500068265
502629203,johnny8678,private,15/02/2020,500068265
508463957,YaK_Dica,quartermaster,04/01/2020,500068265
535406427,cristian_1989,private,29/05/2020,500068265
515741021,EagleStrikeX,private,14/01/2022,500068265
523037022,15WaysToMeetYourMaker,private,03/07/2023,500068265
510553829,sorin_,intelligence_officer,10/08/2022,500068265
512777065,negrutzzu,personnel_officer,15/02/2023,500068265
537294700,Deian83,recruit,24/10/2023,500068265
513143661,impuskte,private,19/07/2021,500068265
508633457,Legend232,private,24/01/2022,500068265
501721973,kookoo84,private,10/01/2022,500068265
515288447,_lukyfer_,intelligence_officer,18/02/2023,500068265
502565760,stoianluc,private,06/02/2021,500068265
500572553,Ktutza,private,02/02/2020,500068265
556268938,YaK__WakaWaka___,executive_officer,13/05/2022,500068265
520448911,MaximusDR,private,10/06/2020,500068265
515876263,Th3MagnificSuleyman,private,13/05/2022,500068265
575727530,Zarila,private,30/04/2023,500068265
510415276,vladpop20,private,01/08/2022,500068265
527835573,Adyssus,private,18/04/2023,500068265
509112248,Nurof3n,recruit,24/08/2023,500068265
523166149,razersparkk,private,24/12/2021,500068265
548519878,_oziiJr_,combat_officer,10/03/2023,500068265
502699463,_SYLE_,intelligence_officer,04/09/2022,500068265
522786761,The_Ghost_of_The_Enemy,private,21/02/2023,500068265
532855246,YaK_baron_ecl,personnel_officer,29/09/2020,500068265
672955343,Huyanbo,recruit,19/08/2023,500068265
516779987,k33nZoRuL25,private,08/03/2021,500068265
516706262,HELLBOY__13,private,27/10/2022,500068265
508580829,HaarpCord_,private,06/08/2022,500068265
518868446,YaK_TigerDaWhite,private,10/04/2020,500068265
514978789,beesknees,combat_officer,02/05/2023,500068265
500088807,EternalKoF,private,04/03/2023,500068265
510086120,dfajkd,intelligence_officer,14/02/2023,500068265
512977903,qasimo,recruit,31/10/2023,500068265
553389563,__Anonym___,intelligence_officer,03/04/2023,500068265
591462911,UndercoverBotxD,private,11/05/2023,500068265
540572416,SaltyLegion,private,25/04/2023,500134969
